Source	Target	Weight	to_first	time_diff	seq_diff	timestamp	tid
2	276	0.5	True	314419	1	2505735	909
2	276	0.33507	False	314419	1	2505735	909
2	278	0.5	True	191	1	2328496	1032
2	278	0.9992	False	191	1	2328496	1032
2	278	0.5	True	28244	4	1349661	226
2	278	0.88994	False	28244	4	1349661	226
2	282	0.5	True	648449	2	2236307	429
2	282	0.2	False	648449	2	2236307	429
2	282	0.89026	False	28155	2	1256692	137
2	287	0.98979	False	2460	2	1908175	684
2	307	0.95489	False	11102	3	2238629	850
2	307	0.5	True	574	1	2230587	940
2	307	0.99761	False	574	1	2230587	940
2	307	0.5	True	32559	1	1349997	222
2	307	0.87444	False	32559	1	1349997	222
2	311	0.5	True	3642	2	2309251	1005
2	311	0.98493	False	3642	2	2309251	1005
2	314	0.63955	False	112664	4	2640911	827
2	319	0.5	True	70	1	1455065	338
2	319	0.99971	False	70	1	1455065	338
2	319	0.5	True	3584	4	1274863	174
2	319	0.98872	False	2719	2	1274863	174
2	319	0.98516	False	3584	4	1274863	174
2	333	0.5	True	64051	2	1351386	198
2	333	0.77084	False	64051	2	1351386	198
2	335	0.5	True	57883	3	2640858	1211
2	335	0.78988	False	57883	3	2640858	1211
2	345	0.96926	False	7499	2	1868273	644
2	345	0.96767	False	7894	4	1868273	644
2	346	0.78968	False	57947	2	2396748	1015
2	355	0.5	True	741	3	2575712	1200
2	355	0.99892	False	258	1	2575712	1200
2	355	0.5	True	162	1	2575133	1200
2	355	0.99932	False	162	1	2575133	1200
2	358	0.5	True	6509	1	1634824	451
2	358	0.97325	False	6509	1	1634824	451
2	359	0.5	True	749925	9	2164768	297
2	359	0.20899	False	565641	3	2164768	297
2	359	0.2	False	716802	6	2164768	297
2	359	0.5	True	16271	2	1431114	297
2	359	0.93472	False	16271	2	1431114	297
2	384	0.5	True	65	1	1634536	459
2	384	0.99973	False	65	1	1634536	459
2	384	0.5	True	72684	1	1349765	178
2	384	0.74515	False	72684	1	1349765	178
2	390	0.78487	False	59487	4	1975034	634
2	390	0.5	True	202	1	1278529	181
2	390	0.99916	False	202	1	1278529	181
2	392	0.5	True	70190	1	1349793	183
2	392	0.75246	False	70190	1	1349793	183
2	393	0.5	True	6186	1	2237980	944
2	393	0.97456	False	6186	1	2237980	944
2	393	0.5	True	560	3	1653439	482
2	393	0.99766	False	560	3	1653439	482
2	393	0.5	True	69205	1	1349823	185
2	393	0.75537	False	69205	1	1349823	185
2	399	0.99498	False	1205	7	1634406	455
2	401	0.5	True	470	1	1437816	322
2	401	0.99804	False	470	1	1437816	322
2	402	0.98128	False	4534	2	2574738	1112
2	402	0.9959	False	983	4	1634406	455
2	405	0.9827	False	4186	1	2230491	900
2	407	0.5	True	63232	1	1349851	195
2	407	0.77333	False	63232	1	1349851	195
2	412	0.5	True	63151	1	1349876	196
2	412	0.77358	False	63151	1	1349876	196
2	433	0.5	True	4959	1	2504718	1131
2	433	0.97954	False	4959	1	2504718	1131
2	451	0.5	True	42271	1	1350021	214
2	451	0.84075	False	42271	1	1350021	214
2	456	0.2	False	1014048	7	2654957	326
2	456	0.95728	False	10499	4	1522442	359
2	456	0.95328	False	11509	6	1522442	359
2	456	0.94932	False	12516	8	1522442	359
2	456	0.94625	False	13299	10	1522442	359
2	464	0.5	True	8477	1	1720257	533
2	464	0.96533	False	8477	1	1720257	533
2	467	0.5	True	30753	1	1349950	225
2	467	0.88089	False	30753	1	1349950	225
2	471	0.5	True	532216	1	2166653	458
2	471	0.21817	False	532216	1	2166653	458
2	471	0.99991	False	21	1	1653439	482
2	489	0.87106	False	33512	2	2208748	886
2	489	0.5	True	36981	1	1974309	716
2	489	0.8589	False	36981	1	1974309	716
2	489	0.99614	False	926	3	1634406	455
2	489	0.99464	False	1288	8	1634406	455
2	493	0.99814	False	447	1	1342090	238
2	521	0.5	True	72703	1	2417137	1043
2	521	0.7451	False	72703	1	2417137	1043
2	521	0.5	True	9749	2	1689122	509
2	521	0.96026	False	9749	2	1689122	509
2	521	0.5	True	27004	1	1428011	291
2	521	0.89445	False	27004	1	1428011	291
2	551	0.2	False	1020436	8	2654957	326
2	575	0.5	True	1212	1	1431344	314
